bus_id,x,y,v_nom,state,county,balancing_area,nerc_reg,reeds_ba,sub_id,load_mean_mw,load_peak_mw,n_lines,total_thermal_mva,max_line_mva,mean_line_length_km,solar_mean_cf,solar_p_nom_max_mw,wind_mean_cf,wind_p_nom_max_mw,renewable_cf_combined,renewable_potential_mw,lmp_mean,lmp_p95,lmp_std,lmp_spike_hrs,lmp_neg_hrs,renewable_sat,load_imbalance,congestion_score,lmp_score,composite,dominant_tech,lmp_p75,pct_protected,flood_risk,land_cost_k,land_cost_index,buildability
2020046,-122.369,40.2226,138.0,California,p06103,CISO-PGAE,WECC_CA,CISO,35857,15.61120992331464,27.3206,2.0,462.24,238.78,21.63071443112073,0.24411799,322.99063443004155,0.214325,206.4270065205255,0.2322008,529.417640950567,3.5949394300861,32.26213619491114,24.479108439345065,19,4,20.3,35.7,6.172214875155366,41.78681860800049,25.6218062388675,Congestion Relief,-0.5658880971105615,22,2,60,78.1,Limited
2020047,-122.306,41.2774,138.0,California,p06093,PACW,WECC_NWPP,PACW,35858,11.752123761016367,20.567,2.0,351.65,179.82,39.80730822326127,0.25078577,27.289323801719203,0.19612497,1264.673145518799,0.22892144,1291.962469320518,-0.6962586241964376,-0.0,27.133878147971163,19,4,18.5,26.8,10.427615725876766,40.861978940866635,23.432918837981248,Congestion Relief,-0.6722261349696361,56,1,40,86.2,Restricted
2020048,-122.344,41.6615,138.0,California,p06093,PACW,WECC_NWPP,PACW,35859,0.8682941513105186,1.5196,2.0,210.39999999999998,210.39,9.941302129831202,0.26264527,2236.7049590729,0.20631081,574.4982528719682,0.2401115,2811.203211944868,-0.6962586241964376,-0.0,27.133878147971163,19,4,24.4,2.0,100.0,40.861978940866635,37.21239575002635,Congestion Relief,-0.6722261349696361,56,1,40,86.2,Restricted
2020049,-122.344,41.6615,138.0,California,p06093,PACW,WECC_NWPP,PACW,35859,4.962543744992561,8.6848,1.0,0.01,0.01,0.0,0.26264527,2236.7049590729,0.20631081,574.4982528719682,0.2401115,2811.203211944868,25.0,150.0,57.104024072016074,19,4,24.4,11.3,100.0,50.04147271141149,41.37329450413532,Congestion Relief,0.0,56,1,40,86.2,Restricted
2020050,-122.398,40.5744,138.0,California,p06089,BANC,WECC_CA,CISO,35860,18.07137661668765,31.6261,1.0,0.01,0.01,0.0,0.24227795,1.3220397023267414,0.32602832,0.4742098932258959,0.2757781,1.7962495955526374,150.0,150.0,0.0,19,4,43.2,41.3,100.0,78.58739132701493,61.16247815096207,Wind+BESS,150.0,44,1,60,78.1,Limited
2020051,-122.398,40.5744,138.0,California,p06089,BANC,WECC_CA,CISO,35860,0.0,0.0,4.0,699.1600000000001,267.04,4.0207315314695435,0.24227795,1.3220397023267414,0.32602832,0.4742098932258959,0.2757781,1.7962495955526374,6.306660902313592,47.74347940181728,27.817958144169378,19,4,43.2,0.0,100.0,42.769510054777435,43.67390189651457,Congestion Relief,10.476285738425547,44,1,60,78.1,Limited
2020052,-122.378,40.4646,138.0,California,p06089,CISO-PGAE,WECC_CA,CISO,35861,18.07137661668765,31.6261,3.0,691.33,238.78,13.208320520082887,0.24119963,40.85102680189585,0.2586074,30.86675304997635,0.24816275,71.7177798518722,3.8467482849449444,25.946920647108247,24.52821783669423,19,4,28.7,41.3,12.622517320818872,41.85735501375333,31.265974543208387,Solar+BESS,0.3281661092811893,44,1,60,78.1,Limited
2020053,-122.355,39.0748,138.0,California,p06011,CISO-PGAE,WECC_CA,CISO,35862,6.560446034107818,11.4812,2.0,504.84000000000003,256.66,48.19252931444243,0.25691053,1019.4120326679595,0.29841828,405.57254587210326,0.27351364,1424.9845785400628,20.83296030627086,135.6484753731613,48.518381055727616,19,4,42.0,15.0,49.65289731447247,48.25710587973401,38.03200044810643,Congestion Relief,1.357886975627461,3,3,60,78.1,Restricted
2020054,-122.323,40.5064,138.0,California,p06089,CISO-PGAE,WECC_CA,CISO,35863,0.0,0.0,4.0,653.27,238.91,10.24658597221087,0.23811261,9.09416571689072,0.28528002,0.9915297767450523,0.25697958,10.085695493635772,3.378171551775493,24.946056541147716,24.48349675982401,19,4,33.3,0.0,100.0,41.72980251036425,40.00096023504404,Congestion Relief,0.48880774033793856,44,1,60,78.1,Limited
2020055,-122.323,40.5064,138.0,California,p06089,CISO-PGAE,WECC_CA,CISO,35863,24.788599553622525,43.3816,1.0,0.01,0.01,0.0,0.23811261,9.09416571689072,0.28528002,0.9915297767450523,0.25697958,10.085695493635772,150.0,150.0,0.0,19,4,33.3,56.6,100.0,78.58739132701493,61.52247799837418,Solar+BESS,150.0,44,1,60,78.1,Limited
2020056,-122.366,39.8848,138.0,California,p06103,CISO-PGAE,WECC_CA,CISO,35864,21.496315978024494,37.6199,3.0,681.4300000000001,232.82,29.40517265492655,0.24820466,3067.0995967696294,0.1835189,937.9270342510574,0.22233036,4005.026631020687,3.217331453640369,47.272050193101215,27.203515358070415,19,4,15.1,49.1,8.008765330930542,41.90318259582114,27.542389432762448,Solar+BESS,-1.6214522078135059,22,2,60,78.1,Limited
2020057,-122.188,39.5029,138.0,California,p06021,CISO-PGAE,WECC_CA,CISO,35865,10.564248746709398,18.4881,2.0,400.69,209.06,30.68744473418741,0.25108123,593.6125337845699,0.20235303,1412.6313335131128,0.23158996,2006.2438672976828,3.1207039775412455,86.98296758329361,37.7142245479221,19,4,19.9,24.1,15.303937619161495,42.7120637598871,24.59319995156045,Congestion Relief,-2.0413533763080314,4,3,50,81.7,Restricted
